id,term,before_example,after_example,after_ko,after_en,after_ja
a1_0313,"país","Camino por la país cada manana.","Chile es un país muy largo.","칠레는 아주 긴 나라예요.","Chile is a very long country.","チリはとても細長い国です。"
a1_0315,"panadería","Tomo panadería en el desayuno.","La panadería abre a las siete.","빵집은 7시에 열어요.","The bakery opens at seven.","パン屋は7時に開きます。"
a1_0316,"panadero","Tomo panadero en el desayuno.","El panadero hace pan cada mañana.","제빵사는 매일 아침 빵을 만들어요.","The baker makes bread every morning.","パン職人は毎朝パンを作ります。"
a1_0317,"pantalones","Tomo pantalones en el desayuno.","Estos pantalones son muy cómodos.","이 바지는 아주 편해요.","These pants are very comfortable.","このズボンはとても楽です。"
a1_0318,"pañuelo","Tomo pañuelo en el desayuno.","Llevo un pañuelo en el bolso.","가방에 손수건을 넣고 다녀요.","I carry a handkerchief in my bag.","かばんにハンカチを入れています。"
a1_0319,"papelería","Uso la papelería en una situacion diaria.","Compro cuadernos en la papelería.","문구점에서 공책을 사요.","I buy notebooks at the stationery shop.","文房具屋でノートを買います。"
a1_0320,"paraguas","Tomo paraguas en el desayuno.","Llueve, necesito el paraguas.","비가 와요. 우산이 필요해요.","It is raining, I need the umbrella.","雨です。傘が必要です。"
a1_0321,"pareja","Uso la pareja en una situacion diaria.","La pareja baila en la plaza.","커플이 광장에서 춤을 춰요.","The couple dances in the square.","カップルが広場で踊っています。"
a1_0323,"pasear","Voy a pasear esta tarde.","Salimos a pasear después de cenar.","저녁 먹고 산책하러 나가요.","We go out for a stroll after dinner.","夕食後に散歩に出かけます。"
a1_0324,"pasta","Uso la pasta en una situacion diaria.","Hoy como pasta con tomate.","오늘은 토마토 파스타를 먹어요.","Today I eat pasta with tomato.","今日はトマトのパスタを食べます。"
a1_0325,"patata","Uso la patata en una situacion diaria.","La tortilla lleva patata y huevo.","토르티야에는 감자와 달걀이 들어가요.","The omelet has potato and egg.","トルティージャにはじゃがいもと卵が入っています。"
a1_0326,"peinarse","Voy a peinarme esta tarde.","Es importante peinarse antes de salir.","나가기 전에 머리를 빗는 게 중요해요.","It is important to comb your hair before going out.","出かける前に髪をとかすことが大切です。"
a1_0328,"peluquería","Uso la peluquería en una situacion diaria.","Voy a la peluquería una vez al mes.","한 달에 한 번 미용실에 가요.","I go to the hair salon once a month.","月に1回美容院に行きます。"
a1_0329,"pequeño","El resultado es pequeño.","Vivo en un pueblo pequeño.","나는 작은 마을에 살아요.","I live in a small town.","小さな町に住んでいます。"
a1_0330,"pequeños","El resultado es pequeños.","Los gatos pequeños duermen mucho.","작은 고양이들은 잠을 많이 자요.","Small cats sleep a lot.","小さな猫はよく眠ります。"
a1_0331,"periodista","Uso la periodista en una situacion diaria.","La periodista escribe sobre deporte.","그 기자는 스포츠에 대해 써요.","The journalist writes about sports.","その記者はスポーツについて書いています。"
a1_0332,"pesar","Voy a pesar esta tarde.","¿Puedes pesar estas manzanas, por favor?","이 사과들 무게 좀 재 주실래요?","Can you weigh these apples, please?","このりんごの重さを量ってもらえますか。"
a1_0333,"pierna","Uso la pierna en una situacion diaria.","Me duele la pierna derecha.","오른쪽 다리가 아파요.","My right leg hurts.","右脚が痛いです。"
a1_0334,"pimienta","Uso la pimienta en una situacion diaria.","La sopa necesita sal y pimienta.","수프에 소금과 후추가 필요해요.","The soup needs salt and pepper.","スープには塩とコショウが必要です。"
a1_0335,"piscina","Uso la piscina en una situacion diaria.","La piscina abre en junio.","수영장은 6월에 열어요.","The pool opens in June.","プールは6月にオープンします。"
a1_0337,"pizarra","Uso la pizarra en una situacion diaria.","La profesora escribe en la pizarra.","선생님이 칠판에 써요.","The teacher writes on the blackboard.","先生が黒板に書いています。"
a1_0338,"pizzería","Uso la pizzería en una situacion diaria.","Cenamos en la pizzería del barrio.","동네 피자집에서 저녁을 먹어요.","We have dinner at the neighborhood pizzeria.","近所のピザ屋で夕食をとります。"
a1_0339,"playa","Uso la playa en una situacion diaria.","En agosto vamos a la playa.","8월에 우리는 해변에 가요.","In August we go to the beach.","8月にビーチへ行きます。"
a1_0340,"plaza","Camino por la plaza cada manana.","Hay un mercado en la plaza mayor.","중앙 광장에 시장이 있어요.","There is a market in the main square.","中央広場に市場があります。"
a1_0341,"policía","Uso la policía en una situacion diaria.","La policía ayuda a los turistas.","경찰이 관광객들을 도와줘요.","The police help the tourists.","警察が観光客を助けています。"
a1_0342,"ponerse","Voy a ponerme esta tarde.","Hay que ponerse el abrigo, hace frío.","코트를 입어야 해요. 날씨가 추워요.","You have to put on your coat, it is cold.","コートを着ないと。寒いですよ。"
a1_0343,"practicar","Voy a practicar esta tarde.","Quiero practicar español contigo.","너랑 스페인어를 연습하고 싶어.","I want to practice Spanish with you.","あなたとスペイン語を練習したいです。"
a1_0346,"preguntar","Voy a preguntar esta tarde.","Voy a preguntar el precio en la tienda.","가게에서 가격을 물어볼 거예요.","I am going to ask the price at the shop.","店で値段を聞いてみます。"
a1_0347,"presentar","Voy a presentar esta tarde.","Te quiero presentar a mi hermana.","너에게 내 여동생을 소개하고 싶어.","I want to introduce my sister to you.","あなたに妹を紹介したいです。"
a1_0348,"primavera","Uso la primavera en una situacion diaria.","En primavera hay muchas flores.","봄에는 꽃이 많아요.","In spring there are many flowers.","春には花がたくさん咲きます。"
a1_0349,"primo","Conozco a un primo del barrio.","Mi primo vive en Valencia.","내 사촌은 발렌시아에 살아요.","My cousin lives in Valencia.","いとこはバレンシアに住んでいます。"
a1_0350,"probarse","Voy a probarme esta tarde.","¿Es posible probarse esta falda aquí?","여기서 이 스커트를 입어 볼 수 있나요?","Is it possible to try on this skirt here?","ここでこのスカートを試着できますか。"
a1_0351,"profesor","Conozco a un profesor del barrio.","El profesor explica la gramática.","선생님이 문법을 설명해요.","The teacher explains the grammar.","先生が文法を説明します。"
a1_0352,"propina","Uso la propina en una situacion diaria.","Dejo propina para el camarero.","웨이터에게 팁을 남겨요.","I leave a tip for the waiter.","ウェイターにチップを残します。"
a1_0353,"pueblo","Camino por la pueblo cada manana.","Mi pueblo tiene una iglesia antigua.","우리 마을에는 오래된 교회가 있어요.","My town has an old church.","私の町には古い教会があります。"
a1_0354,"puerta","La puerta de la casa es pequena.","La puerta del garaje está abierta.","차고 문이 열려 있어요.","The garage door is open.","ガレージのドアが開いています。"
a1_0355,"quedar","Voy a quedar esta tarde.","¿A qué hora quieres quedar mañana?","내일 몇 시에 만날까?","What time do you want to meet tomorrow?","明日何時に会いましょうか。"
a1_0356,"quitarse","Voy a quitarme esta tarde.","Al entrar, hay que quitarse los zapatos.","들어갈 때 신발을 벗어야 해요.","When entering, you must take off your shoes.","入るときに靴を脱がなければなりません。"
a1_0357,"rápida","El resultado es rápida.","Esta línea de metro es muy rápida.","이 지하철 노선은 아주 빨라요.","This metro line is very fast.","この地下鉄の路線はとても速いです。"
a1_0358,"receta","Hablo del receta con el medico.","Sigo la receta de mi abuela.","할머니의 레시피를 따라 해요.","I follow my grandmother's recipe.","祖母のレシピに従います。"
a1_0359,"recibir","Voy a recibir esta tarde.","Espero recibir tu carta pronto.","네 편지를 곧 받길 바라.","I hope to receive your letter soon.","あなたの手紙を早く受け取りたいです。"
a1_0360,"regalar","Voy a regalar esta tarde.","Le voy a regalar un libro a Marta.","마르타에게 책을 선물할 거예요.","I am going to give Marta a book as a gift.","マルタに本をプレゼントします。"
a1_0361,"regla","Uso la regla en una situacion diaria.","Esta regla del juego es simple.","이 게임 규칙은 간단해요.","This rule of the game is simple.","このゲームのルールは簡単です。"
a1_0363,"reservado","Necesito el reservado para viajar.","Este asiento está reservado.","이 좌석은 예약돼 있어요.","This seat is reserved.","この席は予約済みです。"
a1_0364,"reservar","Voy a reservar esta tarde.","Quiero reservar una mesa para dos.","2인용 테이블을 예약하고 싶어요.","I want to reserve a table for two.","2人用のテーブルを予約したいです。"
a1_0365,"responder","Voy a responder esta tarde.","Voy a responder a tu mensaje ahora.","지금 네 메시지에 답장할게.","I am going to reply to your message now.","今あなたのメッセージに返信します。"
a1_0369,"saber","Voy a saber esta tarde.","Quiero saber la hora de salida.","출발 시간을 알고 싶어요.","I want to know the departure time.","出発時間を知りたいです。"
a1_0370,"salida","Uso la salida en una situacion diaria.","La salida de emergencia está a la derecha.","비상구는 오른쪽에 있어요.","The emergency exit is on the right.","非常口は右側にあります。"
a1_0371,"salir","Voy a salir esta tarde.","Esta noche quiero salir con amigos.","오늘 밤은 친구들과 나가고 싶어요.","Tonight I want to go out with friends.","今夜は友達と出かけたいです。"
a1_0372,"salón","La salon de la casa es pequena.","Vemos la tele en el salón.","거실에서 TV를 봐요.","We watch TV in the living room.","リビングでテレビを見ます。"
a1_0373,"salsa","Uso la salsa en una situacion diaria.","La pasta lleva salsa de tomate.","파스타에는 토마토 소스가 들어가요.","The pasta has tomato sauce.","パスタにはトマトソースがかかっています。"
a1_0374,"sardina","Uso la sardina en una situacion diaria.","La sardina es un pescado barato.","정어리는 값싼 생선이에요.","The sardine is a cheap fish.","イワシは安い魚です。"
a1_0375,"sentarse","Voy a sentarme esta tarde.","Pueden sentarse aquí, por favor.","여기 앉으셔도 됩니다.","You can sit here, please.","こちらにお座りください。"
a1_0377,"separarse","Voy a separarme esta tarde.","Mis vecinos van a separarse pronto.","이웃 부부가 곧 헤어질 거예요.","My neighbors are going to separate soon.","隣の夫婦はもうすぐ別れるそうです。"
a1_0378,"servilleta","Uso la servilleta en una situacion diaria.","Pongo la servilleta sobre la mesa.","냅킨을 테이블 위에 놓아요.","I put the napkin on the table.","ナプキンをテーブルに置きます。"
a1_0380,"silla","Uso la silla en una situacion diaria.","Esta silla es muy cómoda.","이 의자는 아주 편해요.","This chair is very comfortable.","この椅子はとても座り心地がいいです。"
a1_0381,"sofá","Uso la sofa en una situacion diaria.","El gato duerme en el sofá.","고양이가 소파에서 자요.","The cat sleeps on the sofa.","猫がソファで寝ています。"
a1_0383,"soltero","Este resultado es soltero.","Mi hermano mayor todavía está soltero.","우리 형은 아직 싱글이에요.","My older brother is still single.","兄はまだ独身です。"
a1_0384,"subir","Voy a subir esta tarde.","Vamos a subir a la torre.","우리는 탑에 올라갈 거예요.","We are going to go up the tower.","塔に上ります。"
a1_0385,"suspender","Voy a suspender esta tarde.","No quiero suspender el examen de mayo.","5월 시험에 떨어지고 싶지 않아요.","I do not want to fail the May exam.","5月の試験に落ちたくありません。"
a1_0387,"tarjeta","Necesito el tarjeta para el tramite.","He perdido mi tarjeta del metro.","지하철 카드를 잃어버렸어요.","I lost my metro card.","地下鉄のカードをなくしました。"
a1_0389,"taxista","Uso la taxista en una situacion diaria.","El taxista conoce bien la ciudad.","택시 기사는 도시를 잘 알아요.","The taxi driver knows the city well.","タクシー運転手は街をよく知っています。"
a1_0390,"taza","Uso la taza en una situacion diaria.","Quiero una taza de té, por favor.","차 한 잔 주세요.","I want a cup of tea, please.","お茶を一杯ください。"
a1_0391,"teléfono","Apunto mi teléfono en el formulario.","El teléfono de la oficina no funciona.","사무실 전화가 작동하지 않아요.","The office phone does not work.","オフィスの電話が使えません。"
a1_0392,"tener","Voy a tener tiempo manana.","Quiero tener una bicicleta nueva.","새 자전거를 갖고 싶어요.","I want to have a new bicycle.","新しい自転車が欲しいです。"
a1_0393,"terraza","Uso la terraza en una situacion diaria.","Desayunamos en la terraza del hotel.","호텔 테라스에서 아침을 먹어요.","We have breakfast on the hotel terrace.","ホテルのテラスで朝食をとります。"
a1_0394,"tienda","Uso la tienda en una situacion diaria.","La tienda cierra a las nueve.","가게는 9시에 닫아요.","The store closes at nine.","店は9時に閉まります。"
a1_0395,"tío","Conozco a un tio del barrio.","Mi tío vive cerca de la playa.","삼촌은 해변 근처에 사세요.","My uncle lives near the beach.","おじは海の近くに住んでいます。"
a1_0396,"toalla","Uso la toalla en una situacion diaria.","Necesito una toalla para la piscina.","수영장에서 쓸 수건이 필요해요.","I need a towel for the pool.","プール用のタオルが必要です。"
a1_0397,"tortilla","Uso la tortilla en una situacion diaria.","La tortilla de patatas es mi plato favorito.","감자 토르티야는 내가 가장 좋아하는 요리예요.","Potato omelet is my favorite dish.","ポテトのトルティージャは私の好物です。"
a1_0398,"trabajar","Voy a trabajar esta tarde.","Mi madre va a trabajar en tren.","엄마는 기차로 출근하세요.","My mother goes to work by train.","母は電車で仕事に行きます。"
a1_0400,"traer","Voy a traer esta tarde.","¿Puedes traer pan de la tienda?","가게에서 빵 좀 가져다줄래?","Can you bring bread from the store?","店からパンを持ってきてくれますか。"
a1_0402,"triste","El resultado es triste.","Estoy triste porque mi amigo se va.","친구가 떠나서 슬퍼요.","I am sad because my friend is leaving.","友達が行ってしまうので悲しいです。"
a1_0403,"turista","Uso la turista en una situacion diaria.","El turista pregunta por el museo.","관광객이 박물관 위치를 물어봐요.","The tourist asks about the museum.","観光客が博物館について尋ねています。"
a1_0404,"vainilla","Uso la vainilla en una situacion diaria.","Quiero un helado de vainilla.","바닐라 아이스크림 하나 주세요.","I want a vanilla ice cream.","バニラアイスをください。"
a1_0406,"vecino","Conozco a un vecino del barrio.","Mi vecino tiene un perro grande.","이웃집에는 큰 개가 있어요.","My neighbor has a big dog.","隣人は大きな犬を飼っています。"
a1_0407,"vender","Voy a vender esta tarde.","Quieren vender su casa del pueblo.","그들은 시골집을 팔고 싶어 해요.","They want to sell their house in the town.","彼らは田舎の家を売りたがっています。"
a1_0408,"venir","Voy a venir esta tarde.","¿Puedes venir a mi casa mañana?","내일 우리 집에 올 수 있어?","Can you come to my house tomorrow?","明日うちに来られますか。"
a1_0409,"ventana","La ventana de la casa es pequena.","Abro la ventana porque hace calor.","더워서 창문을 열어요.","I open the window because it is hot.","暑いので窓を開けます。"
a1_0410,"ver","Voy a ver esta tarde.","Quiero ver esa película contigo.","그 영화를 너와 같이 보고 싶어.","I want to see that movie with you.","その映画をあなたと見たいです。"
a1_0413,"verdura","Uso la verdura en una situacion diaria.","Como verdura en la cena.","저녁에 야채를 먹어요.","I eat vegetables at dinner.","夕食に野菜を食べます。"
a1_0414,"viajar","Voy a viajar esta tarde.","Me encanta viajar en tren.","기차 여행을 아주 좋아해요.","I love traveling by train.","列車で旅行するのが大好きです。"
a1_0415,"viejo","El resultado es viejo.","Este reloj es muy viejo.","이 시계는 아주 오래됐어요.","This watch is very old.","この時計はとても古いです。"
a1_0417,"visitar","Voy a visitar esta tarde.","Queremos visitar el museo del Prado.","우리는 프라도 미술관을 방문하고 싶어요.","We want to visit the Prado Museum.","プラド美術館を訪れたいです。"
a1_0419,"zanahoria","Uso la zanahoria en una situacion diaria.","La zanahoria es buena para la vista.","당근은 눈에 좋아요.","Carrots are good for your eyesight.","にんじんは目に良いです。"
a1_0420,"centro comercial","Necesito centro comercial hoy.","Compramos ropa en el centro comercial.","쇼핑 센터에서 옷을 사요.","We buy clothes at the shopping center.","ショッピングセンターで服を買います。"
a1_0421,"correo electrónico","Necesito correo electrónico hoy.","Te mando el documento por correo electrónico.","문서를 이메일로 보낼게요.","I will send you the document by email.","書類をメールで送ります。"
a1_0423,"abogado","Uso el abogado en una situacion diaria.","El abogado trabaja en el centro.","변호사는 시내에서 일해요.","The lawyer works downtown.","弁護士は中心街で働いています。"
a1_0424,"aceite","Uso el aceite en una situacion diaria.","Cocino con aceite de oliva.","올리브 오일로 요리해요.","I cook with olive oil.","オリーブオイルで料理します。"
a1_0425,"actividad","Uso el actividad en una situacion diaria.","La actividad de hoy es en el parque.","오늘 활동은 공원에서 해요.","Today's activity is in the park.","今日のアクティビティは公園で行います。"
a1_0426,"adolescente","Uso el adolescente en una situacion diaria.","Mi hijo adolescente escucha mucha música.","십대인 아들은 음악을 많이 들어요.","My teenage son listens to a lot of music.","10代の息子は音楽をよく聴きます。"
a1_0427,"afición","Uso el afición en una situacion diaria.","Mi afición favorita es la fotografía.","내가 가장 좋아하는 취미는 사진이에요.","My favorite hobby is photography.","私の一番の趣味は写真です。"
a1_0428,"agradable","Uso el agradable en una situacion diaria.","El clima de esta isla es muy agradable.","이 섬의 기후는 아주 쾌적해요.","The climate of this island is very pleasant.","この島の気候はとても快適です。"
a1_0429,"aire","Uso el aire en una situacion diaria.","El aire de la sierra es muy limpio.","산의 공기는 아주 깨끗해요.","The mountain air is very clean.","山の空気はとてもきれいです。"
a1_0430,"ajo","Uso el ajo en una situacion diaria.","La salsa lleva ajo y tomate.","소스에는 마늘과 토마토가 들어가요.","The sauce has garlic and tomato.","ソースにはにんにくとトマトが入っています。"
a1_0431,"alcohol","Uso el alcohol en una situacion diaria.","Esta bebida no tiene alcohol.","이 음료에는 알코올이 없어요.","This drink has no alcohol.","この飲み物にはアルコールが入っていません。"
a1_0432,"alegre","Uso el alegre en una situacion diaria.","Mi abuela es una persona muy alegre.","할머니는 아주 쾌활한 분이에요.","My grandmother is a very cheerful person.","祖母はとても明るい人です。"
a1_0433,"alemán","Uso el alemán en una situacion diaria.","Estudio alemán los martes.","화요일마다 독일어를 공부해요.","I study German on Tuesdays.","毎週火曜日にドイツ語を勉強します。"
a1_0434,"alojamiento","Uso el alojamiento en una situacion diaria.","Busco alojamiento cerca de la universidad.","대학 근처 숙소를 찾고 있어요.","I am looking for accommodation near the university.","大学の近くの宿を探しています。"
a1_0437,"amarillo","Uso el amarillo en una situacion diaria.","El taxi de Nueva York es amarillo.","뉴욕 택시는 노란색이에요.","The New York taxi is yellow.","ニューヨークのタクシーは黄色です。"
a1_0438,"amueblado","Uso el amueblado en una situacion diaria.","Busco un piso amueblado en el centro.","시내에 가구가 비치된 아파트를 찾고 있어요.","I am looking for a furnished apartment downtown.","中心街で家具付きのアパートを探しています。"
a1_0439,"antipático","Uso el antipático en una situacion diaria.","El camarero de ese bar es antipático.","저 바의 웨이터는 불친절해요.","The waiter at that bar is unfriendly.","あのバルのウェイターは無愛想です。"
a1_0440,"anuncios","Uso el anuncios en una situacion diaria.","Veo muchos anuncios en la tele.","TV에서 광고를 많이 봐요.","I see many advertisements on TV.","テレビでたくさんの広告を見ます。"
a1_0441,"años","Uso el años en una situacion diaria.","Mi abuela tiene ochenta años.","할머니는 여든 살이세요.","My grandmother is eighty years old.","祖母は80歳です。"
a1_0442,"apartamento","Uso el apartamento en una situacion diaria.","Alquilo un apartamento con dos habitaciones.","방 두 개짜리 아파트를 빌려요.","I rent an apartment with two rooms.","部屋が2つあるアパートを借りています。"
a1_0443,"aperitivo","Uso el aperitivo en una situacion diaria.","Tomamos un aperitivo antes de comer.","식사 전에 전채를 먹어요.","We have an appetizer before lunch.","食事の前に前菜をとります。"
a1_0444,"aquí","Uso el aquí en una situacion diaria.","Puedes dejar tu maleta aquí.","여행 가방은 여기에 두면 돼요.","You can leave your suitcase here.","スーツケースはここに置いていいですよ。"
a1_0445,"armario","Uso el armario en una situacion diaria.","Guardo la ropa en el armario.","옷장에 옷을 보관해요.","I keep my clothes in the closet.","服はクローゼットにしまいます。"
a1_0446,"arroz","Uso el arroz en una situacion diaria.","El arroz con pollo está muy rico.","치킨 라이스가 아주 맛있어요.","The rice with chicken is very tasty.","チキンライスはとてもおいしいです。"
a1_0447,"ascensor","Uso el ascensor en una situacion diaria.","El ascensor está roto, usa la escalera.","엘리베이터가 고장 나서 계단을 이용하세요.","The elevator is broken, use the stairs.","エレベーターが故障中なので階段を使ってください。"
a1_0448,"atún","Uso el atún en una situacion diaria.","El bocadillo de atún es barato.","참치 샌드위치는 싸요.","The tuna sandwich is cheap.","ツナサンドは安いです。"
a1_0449,"azul","Uso el azul en una situacion diaria.","El mar se ve muy azul hoy.","오늘 바다가 아주 파랗게 보여요.","The sea looks very blue today.","今日は海がとても青く見えます。"
a1_0450,"azules","Uso el azules en una situacion diaria.","Mi hija tiene los ojos azules.","내 딸은 눈이 파래요.","My daughter has blue eyes.","娘は青い目をしています。"
a1_0451,"banco","Uso el banco en una situacion diaria.","El banco abre a las ocho y media.","은행은 8시 반에 열어요.","The bank opens at half past eight.","銀行は8時半に開きます。"
a1_0452,"bañador","Uso el bañador en una situacion diaria.","Necesito un bañador nuevo para el verano.","여름용 새 수영복이 필요해요.","I need a new swimsuit for the summer.","夏用の新しい水着が必要です。"
a1_0453,"bebé","Uso el bebé en una situacion diaria.","El bebé duerme tres veces al día.","아기는 하루에 세 번 자요.","The baby sleeps three times a day.","赤ちゃんは1日に3回寝ます。"
a1_0454,"bigote","Uso el bigote en una situacion diaria.","Mi padre lleva bigote desde joven.","아버지는 젊을 때부터 콧수염을 기르세요.","My father has worn a mustache since he was young.","父は若い頃から口ひげを生やしています。"
a1_0455,"biquini","Uso el biquini en una situacion diaria.","Llevo el biquini en la bolsa de playa.","비치백에 비키니를 넣어 가요.","I carry my bikini in the beach bag.","ビーチバッグにビキニを入れています。"
a1_0456,"blanco","Uso el blanco en una situacion diaria.","El vestido blanco es para la boda.","흰 드레스는 결혼식용이에요.","The white dress is for the wedding.","白いドレスは結婚式用です。"
a1_0457,"bocadillo","Uso el bocadillo en una situacion diaria.","Como un bocadillo de queso al mediodía.","점심에 치즈 샌드위치를 먹어요.","I eat a cheese sandwich at noon.","昼にチーズサンドを食べます。"
a1_0458,"bolso","Uso el bolso en una situacion diaria.","Llevo el libro en el bolso.","가방에 책을 넣고 다녀요.","I carry the book in my bag.","かばんに本を入れて持ち歩きます。"
a1_0459,"bombero","Uso el bombero en una situacion diaria.","El bombero apaga el fuego.","소방관이 불을 꺼요.","The firefighter puts out the fire.","消防士が火を消します。"
a1_0461,"botas","Uso el botas en una situacion diaria.","En invierno llevo botas de piel.","겨울에는 가죽 부츠를 신어요.","In winter I wear leather boots.","冬は革のブーツを履きます。"
a1_0462,"brazo","Uso el brazo en una situacion diaria.","Me duele el brazo derecho.","오른팔이 아파요.","My right arm hurts.","右腕が痛いです。"
a1_0463,"calcetines","Uso el calcetines en una situacion diaria.","Compro calcetines de algodón.","면 양말을 사요.","I buy cotton socks.","綿の靴下を買います。"
a1_0464,"calvo","Uso el calvo en una situacion diaria.","Mi profesor es calvo y lleva gafas.","우리 선생님은 대머리에 안경을 쓰세요.","My teacher is bald and wears glasses.","私の先生ははげていて眼鏡をかけています。"
a1_0465,"calzoncillo","Uso el calzoncillo en una situacion diaria.","El calzoncillo está en el cajón.","팬티는 서랍에 있어요.","The underpants are in the drawer.","下着は引き出しにあります。"
a1_0466,"cama","Uso el cama en una situacion diaria.","La cama del hotel es muy cómoda.","호텔 침대가 아주 편해요.","The hotel bed is very comfortable.","ホテルのベッドはとても快適です。"
a1_0467,"camarero","Uso el camarero en una situacion diaria.","El camarero trae el menú.","웨이터가 메뉴를 가져와요.","The waiter brings the menu.","ウェイターがメニューを持ってきます。"
a1_0468,"campo","Uso el campo en una situacion diaria.","Mis abuelos viven en el campo.","조부모님은 시골에 사세요.","My grandparents live in the countryside.","祖父母は田舎に住んでいます。"
a1_0469,"canción","Uso el canción en una situacion diaria.","Esta canción es muy famosa en España.","이 노래는 스페인에서 아주 유명해요.","This song is very famous in Spain.","この歌はスペインでとても有名です。"
a1_0470,"carne","Uso el carne en una situacion diaria.","No como carne los viernes.","금요일에는 고기를 안 먹어요.","I do not eat meat on Fridays.","金曜日は肉を食べません。"
a1_0473,"céntimo","Uso el céntimo en una situacion diaria.","El pan cuesta noventa céntimos.","빵은 90센트예요.","The bread costs ninety cents.","パンは90セントです。"
a1_0475,"centro","Uso el centro en una situacion diaria.","Vivo en el centro de la ciudad.","나는 시내 중심에 살아요.","I live in the city center.","市の中心部に住んでいます。"
a1_0476,"cerdo","Uso el cerdo en una situacion diaria.","El cerdo vive en la granja.","돼지는 농장에 살아요.","The pig lives on the farm.","豚は農場にいます。"
a1_0477,"cereales","Uso el cereales en una situacion diaria.","Desayuno cereales con leche.","아침으로 우유에 시리얼을 먹어요.","I have cereal with milk for breakfast.","朝食に牛乳をかけたシリアルを食べます。"
a1_0478,"chalé","Uso el chalé en una situacion diaria.","Mis tíos tienen un chalé en la montaña.","이모네는 산에 샬레가 있어요.","My aunt and uncle have a chalet in the mountains.","おじ夫婦は山にシャレーを持っています。"
a1_0479,"champú","Uso el champú en una situacion diaria.","Este champú huele muy bien.","이 샴푸는 향이 아주 좋아요.","This shampoo smells very good.","このシャンプーはとてもいい香りです。"
a1_0480,"chat","Uso el chat en una situacion diaria.","Hablo con mis amigos por el chat.","친구들과 채팅으로 이야기해요.","I talk with my friends on the chat.","チャットで友達と話します。"
a1_0481,"chef","Uso el chef en una situacion diaria.","El chef prepara un plato especial.","셰프가 특별 요리를 준비해요.","The chef prepares a special dish.","シェフが特別料理を用意します。"
a1_0482,"chino","Uso el chino en una situacion diaria.","Mi compañera estudia chino en la universidad.","내 동료는 대학에서 중국어를 공부해요.","My classmate studies Chinese at university.","私の仲間は大学で中国語を勉強しています。"
a1_0483,"chocolate","Uso el chocolate en una situacion diaria.","De postre hay tarta de chocolate.","디저트로 초콜릿 케이크가 있어요.","For dessert there is chocolate cake.","デザートにチョコレートケーキがあります。"
a1_0484,"cine","Uso el cine en una situacion diaria.","Vamos al cine este viernes.","이번 금요일에 영화관에 가요.","We are going to the cinema this Friday.","今週の金曜日に映画館へ行きます。"
a1_0487,"cocinero","Uso el cocinero en una situacion diaria.","El cocinero prepara la sopa del día.","요리사가 오늘의 수프를 만들어요.","The cook prepares the soup of the day.","料理人が本日のスープを作ります。"
a1_0488,"color","Uso el color en una situacion diaria.","¿De qué color es tu coche?","네 차는 무슨 색이야?","What color is your car?","あなたの車は何色ですか。"
a1_0490,"comprador","Uso el comprador en una situacion diaria.","El comprador paga en la caja.","구매자가 계산대에서 결제해요.","The buyer pays at the checkout.","購入者がレジで支払います。"
a1_0491,"comunicado","Uso el comunicado en una situacion diaria.","La empresa publica un comunicado hoy.","회사가 오늘 성명서를 발표해요.","The company publishes a statement today.","会社は今日声明を発表します。"
a1_0492,"concierto","Uso el concierto en una situacion diaria.","Tengo entradas para el concierto.","콘서트 티켓이 있어요.","I have tickets for the concert.","コンサートのチケットがあります。"
a1_0493,"cordero","Uso el cordero en una situacion diaria.","El cordero asado es típico aquí.","여기는 양고기 구이가 유명해요.","Roast lamb is typical here.","ここでは子羊のローストが名物です。"
a1_0494,"corto","Uso el corto en una situacion diaria.","En verano llevo pantalón corto.","여름에는 반바지를 입어요.","In summer I wear short pants.","夏は短パンをはきます。"
a1_0495,"crema","Uso el crema en una situacion diaria.","Uso crema para el sol en la playa.","해변에서 선크림을 발라요.","I use sun cream at the beach.","ビーチで日焼け止めクリームを塗ります。"
a1_0496,"cumpleaños","Uso el cumpleaños en una situacion diaria.","Mi cumpleaños es el diez de marzo.","내 생일은 3월 10일이에요.","My birthday is March 10th.","私の誕生日は3月10日です。"
a1_0497,"currículum","Uso el currículum en una situacion diaria.","Envío mi currículum a la empresa.","회사에 이력서를 보내요.","I send my resume to the company.","会社に履歴書を送ります。"
a1_0498,"dedo","Uso el dedo en una situacion diaria.","Me corto el dedo con el papel.","종이에 손가락을 베였어요.","I cut my finger on the paper.","紙で指を切ってしまいました。"
a1_0499,"delgado","Uso el delgado en una situacion diaria.","Mi gato es delgado y rápido.","우리 고양이는 날씬하고 빨라요.","My cat is thin and fast.","うちの猫はスリムで素早いです。"
a2_0001,"adulto","La palabra ""adulto"" aparece en la lista.","La entrada de adulto cuesta diez euros.","성인 입장권은 10유로예요.","The adult ticket costs ten euros.","大人の入場券は10ユーロです。"
a2_0002,"agricultor","La palabra ""agricultor"" aparece en la lista.","El agricultor cultiva tomates y maíz.","농부가 토마토와 옥수수를 재배해요.","The farmer grows tomatoes and corn.","農家はトマトとトウモロコシを育てています。"
a2_0003,"ancho","La palabra ""ancho"" aparece en la lista.","Este río es muy ancho.","이 강은 아주 넓어요.","This river is very wide.","この川はとても幅が広いです。"
